ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_269,1,Kon2,Konsole2,Kon2_Fe10_OFas_RhANT,Konsole2_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,16","0,52",2,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_613,1,FeL3,Laibungsstein3,FeL3_Fe27_OFas_RhANT,Laibungsstein3_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,16","0,31",3,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_620,1,FeL2,Laibungsstein2,FeL2_Fe27_OFas_RhANT,Laibungsstein2_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,16","0,28",3,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_264,1,FeL10,Laibungsstein10,FeL10_Fe10_OFas_RhANT,Laibungsstein10_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,17","0,52",2,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_586,1,FeL6,Laibungsstein6,FeL6_Fe26_OFas_RhANT,Laibungsstein6_Fen26_OFas_RhANT,Fe26_OFas_RhANT,"0,17","0,29",3,8,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_63,1,FS15,Fassadenstein15,FS15_OFas_RhANT,Fassadenstein15_OFas_RhANT,OFas_RhANT,"0,17","0,54",2,0,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_285,1,Kon1,Konsole1,Kon1_Fe10_OFas_RhANT,Konsole1_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,17","0,53",2,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_251,1,Kon1,Konsole1,Kon1_Fe09_OFas_RhANT,Konsole1_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,18","0,55",2,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_254,1,Kon2,Konsole2,Kon2_Fe09_OFas_RhANT,Konsole2_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,18","0,55",2,9,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_745,1,FeL9,Laibungsstein9,FeL9_Fe35_OFas_RhANT,Laibungsstein9_Fen35_OFas_RhANT,Fe35_OFas_RhANT,"0,18","0,19",3,20,1,0,0,0,0,0,0,0,0
